ID;Ano;UO (Cod);UG (Cod);UG Responsável (Cod);Programa (Cod);Programa;Ação (Cod);Ação;PO (Cod);PO;GND (Cod);GND;Elemento Despesa (Cod);Elemento Despesa;Sub-elemento Despesa (Cod);Sub-elemento Despesa;Ano Emissão Empenho;Empenho;PL;Dotação Inicial;Autorizado;Crédito Disponível;Empenhado;Liquidado;Pago;Despesa Executada;Contingenciamento;RP Proc Inscrito;RP Não-Proc Inscrito;RP Proc a Pagar;RP Não-Proc a Pagar;RP Proc Pago;RP Não-Proc Pago;RP Proc Cancelado;RP Não-Proc Cancelado
1;2018;24205;203001;NÃO INFORMADO;89;PREVIDÊNCIA DE INATIVOS E PENSIONISTAS DA UNIÃO;181;APOSENTADORIAS E PENSOES CIVIS DA UNIAO;0;APOSENTADORIAS E PENSOES CIVIS DA UNIAO;1;PESSOAL E ENCARGOS SOCIAIS;1;APOSENTADORIAS RPPS, RESERVA REMUNERADA E REFORMAS;31900106;13 SALARIO - PESSOAL CIVIL;2018;2018.NE.203001.20402.000025;0;0;0;0;13535,23;13535,23;13535,23;13535,23;0;0;0;0;0;0;0;0;0
2;2018;24205;203001;NÃO INFORMADO;89;PREVIDÊNCIA DE INATIVOS E PENSIONISTAS DA UNIÃO;181;APOSENTADORIAS E PENSOES CIVIS DA UNIAO;0;APOSENTADORIAS E PENSOES CIVIS DA UNIAO;1;PESSOAL E ENCARGOS SOCIAIS;1;APOSENTADORIAS RPPS, RESERVA REMUNERADA E REFORMAS;31900101;PROVENTOS - PESSOAL CIVIL;2018;2018.NE.203001.20402.000025;0;0;0;0;117752,55;117752,55;117752,55;117752,55;0;0;0;0;0;0;0;0;0
3;2018;24205;203001;NÃO INFORMADO;2106;PROGRAMA DE GESTÃO E MANUTENÇÃO DO MINISTÉRIO DA CIÊNCIA, TECNOLOGIA, INOVAÇÕES E COMUNICAÇÕES;2000;ADMINISTRACAO DA UNIDADE;2;OUTRAS DESPESAS ADMINISTRATIVAS;3;OUTRAS DESPESAS CORRENTES;39;OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA;33903901;ASSINATURAS DE PERIODICOS E ANUIDADES;2018;2018.NE.203001.20402.800019;0;0;0;0;389,22;389,22;389,22;389,22;0;0;0;0;0;0;0;0;0
4;2018;24205;203001;NÃO INFORMADO;2106;PROGRAMA DE GESTÃO E MANUTENÇÃO DO MINISTÉRIO DA CIÊNCIA, TECNOLOGIA, INOVAÇÕES E COMUNICAÇÕES;2000;ADMINISTRACAO DA UNIDADE;2;OUTRAS DESPESAS ADMINISTRATIVAS;3;OUTRAS DESPESAS CORRENTES;39;OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA;33903995;MANUT.CONS.EQUIP. DE  PROCESSAMENTO DE DADOS;2017;2017.NE.203001.20402.800014;0;0;0;0;0;0;0;0;0;0;3720;0;580;0;3140;0;0
5;2018;24205;203001;NÃO INFORMADO;2106;PROGRAMA DE GESTÃO E MANUTENÇÃO DO MINISTÉRIO DA CIÊNCIA, TECNOLOGIA, INOVAÇÕES E COMUNICAÇÕES;2000;ADMINISTRACAO DA UNIDADE;2;OUTRAS DESPESAS ADMINISTRATIVAS;4;INVESTIMENTOS;36;OUTROS SERVIÇOS DE TERCEIROS - PESSOA FÍSICA;44903646;AQUISICAO DE SOFTWARES;2018;2018.NE.203001.20402.800027;0;0;0;0;27813,32;27813,32;27813,32;27813,32;0;0;0;0;0;0;0;0;0
6;2018;24205;203001;NÃO INFORMADO;2106;PROGRAMA DE GESTÃO E MANUTENÇÃO DO MINISTÉRIO DA CIÊNCIA, TECNOLOGIA, INOVAÇÕES E COMUNICAÇÕES;2000;ADMINISTRACAO DA UNIDADE;2;OUTRAS DESPESAS ADMINISTRATIVAS;3;OUTRAS DESPESAS CORRENTES;37;LOCACAO DE MAO-DE-OBRA;33903705;SERVICOS DE COPA E COZINHA;2018;2018.NE.203001.20402.800051;0;0;0;0;484635,52;369171,45;369171,45;484635,52;0;0;0;0;0;0;0;0;0
7;2018;24205;443001;NÃO INFORMADO;2106;PROGRAMA DE GESTÃO E MANUTENÇÃO DO MINISTÉRIO DA CIÊNCIA, TECNOLOGIA, INOVAÇÕES E COMUNICAÇÕES;2000;ADMINISTRACAO DA UNIDADE;2;OUTRAS DESPESAS ADMINISTRATIVAS;3;OUTRAS DESPESAS CORRENTES;39;OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA;33903943;SERVICOS DE ENERGIA ELETRICA;2018;2018.NE.443001.44205.800099;0;0;0;0;22988,72;19853,26;19853,26;22988,72;0;0;0;0;0;0;0;0;0
8;2018;24205;203001;NÃO INFORMADO;2106;PROGRAMA DE GESTÃO E MANUTENÇÃO DO MINISTÉRIO DA CIÊNCIA, TECNOLOGIA, INOVAÇÕES E COMUNICAÇÕES;20TP;ATIVOS CIVIS DA UNIAO;0;ATIVOS CIVIS DA UNIAO;1;PESSOAL E ENCARGOS SOCIAIS;11;VENCIMENTOS E VANTAGENS FIXAS - PESSOAL CIVIL;31901136;GRATIFICACAO P/EXERCICIO DE CARGO EM COMISSAO;2018;2018.NE.203001.20402.000013;0;0;0;0;2740106,47;2740106,47;2510463,51;2740106,47;0;0;0;0;0;0;0;0;0
9;2018;24205;203001;NÃO INFORMADO;2106;PROGRAMA DE GESTÃO E MANUTENÇÃO DO MINISTÉRIO DA CIÊNCIA, TECNOLOGIA, INOVAÇÕES E COMUNICAÇÕES;2000;ADMINISTRACAO DA UNIDADE;1;CAPACITACAO DE SERVIDORES PUBLICOS FEDERAIS EM PROCESSO DE QUALIFICACAO E REQUALIFICACAO;3;OUTRAS DESPESAS CORRENTES;39;OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA;33903948;SERVICO DE SELECAO E TREINAMENTO;2018;2018.NE.203001.20402.800049;0;0;0;0;195284,4;73390,23;73390,23;195284,4;0;0;0;0;0;0;0;0;0
10;2018;24205;203001;NÃO INFORMADO;2106;PROGRAMA DE GESTÃO E MANUTENÇÃO DO MINISTÉRIO DA CIÊNCIA, TECNOLOGIA, INOVAÇÕES E COMUNICAÇÕES;2000;ADMINISTRACAO DA UNIDADE;1;CAPACITACAO DE SERVIDORES PUBLICOS FEDERAIS EM PROCESSO DE QUALIFICACAO E REQUALIFICACAO;3;OUTRAS DESPESAS CORRENTES;39;OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA;33903948;SERVICO DE SELECAO E TREINAMENTO;2017;2017.NE.203001.20402.800041;0;0;0;0;0;0;0;0;0;0;43546,59;0;29392,35;0;14154,24;0;0
